@relation imp

@attribute segmentpop numeric
@attribute biddingday numeric
@attribute pi numeric

@data
0.908777,6,0.000035
0.87557,6,0.000035
2.514717,18,-0.000685
1.40918,18,-0.000685
1.601608,41,-0.000162
1.773246,41,-0.000162
1.525345,59,-0.000463
1.189958,59,-0.000463
1.651515,59,-0.000463
1.25883,6,0.000066
1.287812,6,0.000066
3.692002,21,-0.000087
2.869612,21,-0.000087
2.950622,21,-0.000087
3.134826,23,0.000047
1.606783,23,0.000047
2.528792,23,0.000047
0.699174,1,0.000024
0.780396,1,0.000024
0.911816,1,0.000024
0.907296,1,0.000024
0.81034,1,0.000024
2.256406,13,0.002332
2.462379,13,0.002332
1.903821,13,0.002332
0.664823,19,0.007003
1.325571,19,0.007003
1.189778,19,0.007003
1.978913,41,0.00143
1.970541,41,0.00143
2.584247,41,0.00143
1.540401,46,0.003378
1.242489,46,0.003378
1.507236,46,0.003378
3.04841,44,0.005641
2.372824,44,0.005641
1.336289,44,0.005641
0.883601,44,0.005641
0.908914,44,0.005641
1.476227,44,0.005641
1.808323,44,0.005641
1.709064,44,0.005641
1.452602,44,0.005641
1.530439,44,0.005641
1.864815,49,Infinity
1.767165,49,Infinity
1.811428,49,Infinity
1.567049,49,Infinity
1.84346,49,Infinity
2.392584,45,0.004414
1.602177,45,0.004414
1.25234,45,0.004414
1.215589,45,0.004414
1.655572,45,0.004414
1.877607,45,0.004414
1.878643,45,0.004414
2.108974,45,0.004414
1.79,45,0.004414
1.812166,45,0.004414
1.419914,47,0.000698
1.57237,47,0.000698
2.114848,47,0.000698
2.011542,47,0.000698
1.888515,47,0.000698
2.091537,47,0.000698
2.228242,47,0.000698
2.50954,47,0.000698
2.607786,47,0.000698
2.443862,47,0.000698
0.747977,1,0.000023
1.728958,1,0.000023
1.602884,1,0.000023
1.849142,1,0.000023
1.721736,1,0.000023
1.934166,9,0.08583
2.188683,9,0.08583
1.614333,9,0.08583
1.729077,10,0.005264
1.686936,10,0.005264
1.908552,10,0.005264
1.567768,10,0.005264
1.728064,10,0.005264
1.277331,12,0.009803
0.987975,12,0.009803
1.039577,12,0.009803
1.851743,11,0.005302
2.043026,11,0.005302
1.747492,11,0.005302
1.872709,11,0.005302
1.523956,11,0.005302
1.720444,14,Infinity
1.247837,14,Infinity
1.304385,14,Infinity
0.699085,13,0.003385
0.761733,13,0.003385
0.784189,13,0.003385
0.73319,13,0.003385
1.018645,13,0.003385
0.984318,18,Infinity
1.016268,18,Infinity
1.87599,18,Infinity
1.734406,18,Infinity
1.914579,18,Infinity
2.372521,16,0.000931
2.256533,16,0.000931
2.398607,16,0.000931
1.850291,16,0.000931
2.371962,16,0.000931
3.204388,16,0.000931
3.493237,16,0.000931
2.927654,16,0.000931
3.739263,16,0.000931
3.013902,16,0.000931
2.07506,24,0.022356
2.029744,24,0.022356
2.508494,24,0.022356
3.226847,35,Infinity
2.750417,35,Infinity
3.441774,35,Infinity
2.342653,32,0.002586
2.171375,32,0.002586
2.849438,32,0.002586
2.556654,32,0.002586
2.651546,32,0.002586
2.388029,32,0.002586
3.140981,32,0.002586
2.6604,32,0.002586
2.531437,32,0.002586
2.179272,32,0.002586
2.985908,37,0.002633
2.669513,37,0.002633
2.445261,37,0.002633
2.116427,37,0.002633
2.221409,37,0.002633
2.59931,48,0.002618
2.605436,48,0.002618
2.942668,48,0.002618
2.970163,48,0.002618
2.512067,48,0.002618
2.342409,52,?
2.605707,52,?
1.865558,52,?
3.246983,51,0.092601
2.741475,51,0.092601
3.267177,51,0.092601
1.374696,51,0.092601
1.749014,51,0.092601
0.903814,1,0
1.065714,1,0
0.957807,1,0
0.911558,1,0
1.224972,1,0
1.509772,9,0.000317
1.755648,9,0.000317
1.370624,9,0.000317
1.432445,9,0.000317
1.308002,9,0.000317
1.173967,9,0.000317
1.180982,9,0.000317
1.315288,9,0.000317
1.316528,9,0.000317
1.88852,9,0.000317
1.261918,16,0.022224
1.096938,16,0.022224
0.876215,16,0.022224
1.55368,16,0.022224
1.241797,16,0.022224
1.310286,16,0.022224
1.234186,16,0.022224
1.802433,16,0.022224
1.745276,16,0.022224
1.903327,16,0.022224
1.731269,21,0.001049
1.774299,21,0.001049
1.745852,21,0.001049
1.146476,21,0.001049
1.323777,21,0.001049
1.427004,21,0.001049
1.323549,21,0.001049
1.226725,21,0.001049
1.815516,21,0.001049
1.885309,21,0.001049
1.68065,32,0.003227
2.024664,32,0.003227
1.92258,32,0.003227
1.751776,27,0.001301
1.591539,27,0.001301
2.084842,27,0.001301
2.603063,27,0.001301
2.625133,27,0.001301
3.385783,27,0.001301
2.982972,27,0.001301
3.0125,27,0.001301
3.790221,27,0.001301
3.013003,27,0.001301
3.160258,35,0.055245
3.085691,35,0.055245
3.341807,35,0.055245
2.99643,35,0.055245
2.696369,35,0.055245
2.047216,42,5.937087
1.80014,42,5.937087
1.815513,42,5.937087
1.55238,38,0.002096
1.419099,38,0.002096
1.834797,38,0.002096
2.422222,38,0.002096
2.964661,38,0.002096
2.700784,38,0.002096
2.986347,38,0.002096
2.884222,38,0.002096
2.156644,38,0.002096
1.633866,38,0.002096
2.957912,44,0.008424
2.593213,44,0.008424
1.666956,44,0.008424
1.136946,44,0.008424
1.325929,44,0.008424
1.214657,54,?
1.174439,54,?
1.235058,54,?
2.361619,50,0.089136
2.276693,50,0.089136
2.416565,50,0.089136
2.273407,50,0.089136
1.940675,50,0.089136
2.42366,50,0.089136
2.082022,50,0.089136
1.962043,50,0.089136
1.312034,50,0.089136
1.386134,50,0.089136
