@relation ucs

@attribute ucslevel numeric
@attribute biddingday numeric
@attribute ucsbid numeric
@attribute class {too_low,low,good,high,too_high}

@data
1,5,0.05,?
1,0,0.196373,?
0.81,1,0.130758,?
0.59049,2,0.063244,?
0.478297,3,0,?
0.478297,4,0,?
0.478297,5,0,?
0.478297,6,0,?
0.478297,7,0,?
0.478297,8,0,?
0.478297,9,0,?
0.478297,10,0,?
1,0,0.2,too_low
0.478297,1,0,low
0.9,2,0.178148,too_low
0.81,3,0.14469,too_low
1,4,0.178467,too_low
0.478297,5,0,low
0.59049,6,0.083737,low
0.9,7,0.16502,too_low
0.531441,8,0.055346,low
0.9,9,0.172904,too_low
0.9,10,0.171499,too_low
0.81,11,0.131314,too_low
0.478297,12,0,low
1,13,0.177556,too_low
0.478297,14,0,low
1,15,0.19002,too_low
0.59049,16,0.077592,low
0.81,17,0.133009,too_low
1,18,0.173593,too_low
0.59049,19,0.074645,low
1,20,0.164017,too_low
0.6561,21,0.100332,low
1,22,0.173567,too_low
0.478297,23,0,low
0.9,24,0.152289,too_low
0.6561,25,0.101575,low
0.9,26,0.170606,too_low
0.81,27,0.141398,too_low
0.478297,28,0,low
0.729,29,0.094503,low
0.59049,30,0.070913,low
0.729,31,0.119237,low
1,32,0.196909,too_low
0.478297,33,0,low
0.9,34,0.129644,too_low
0.531441,35,0.057468,low
1,36,0.161293,too_low
0.531441,37,0.055402,low
0.729,38,0.105405,low
1,39,0.198852,too_low
0.6561,40,0.104054,low
0.729,41,0.095682,low
0.531441,42,0.064677,low
1,43,0.189119,too_low
0.478297,44,0,low
0.9,45,0.161301,too_low
0.729,46,0.112101,low
0.729,47,0.107884,low
0.9,48,0.150474,too_low
0.81,49,0.132763,too_low
0.81,50,0.132763,too_low
0.81,51,0.132763,too_low
0.6561,52,0.083767,low
1,53,0.199017,too_low
0.531441,54,0.0571,low
0.531441,55,0.0571,low
0.531441,56,0.0571,low
0.531441,57,0.0571,low
0.531441,58,0.0571,low
0.531441,59,0.0571,low
0.81,0,0.161148,too_low
0.729,1,0.116902,low
1,2,0.17498,too_low
0.478297,3,0,low
1,4,0.198853,too_low
0.478297,5,0,low
0.9,6,0.174504,too_low
0.81,7,0.12145,too_low
0.6561,8,0.082488,low
1,9,0.19949,too_low
0.729,10,0.124029,low
0.531441,11,0.062461,low
1,12,0.194251,too_low
0.6561,13,0.075649,low
1,14,0.193498,too_low
0.6561,15,0.084526,low
0.729,16,0.113616,low
0.729,17,0.094645,low
1,18,0.181027,too_low
0.81,19,0.136968,too_low
0.81,20,0.119837,too_low
0.59049,21,0.083716,low
1,22,0.149901,too_low
0.6561,23,0.089101,low
1,24,0.193462,too_low
0.478297,25,0,low
1,26,0.198316,too_low
0.59049,27,0.067563,low
0.729,28,0.122418,low
0.729,29,0.105924,low
1,30,0.195352,too_low
