09/12 16:15:20 INFO agentware.SimClient|next simulation starts in 39 seconds
09/12 16:27:37 INFO agentware.SimClient|next simulation 188 has already started
09/12 16:27:39 SEVERE agentware.SimClient|No agent registered to receive Message[coordinator,adv1,(CampaignReport)]
09/12 16:27:39 SEVERE agentware.SimClient|No agent registered to receive Message[coordinator,adv1,AdNetworkDailyNotification [effectiveDay=46, serviceLevel=0.47829690000000014, price=0.0, qualityScore=1.2836522487920408, campaignId=863045495, winner=DummyAdnetwork-2, costMillis=0]]
09/12 16:27:39 SEVERE agentware.SimClient|No agent registered to receive Message[coordinator,adv1,tau.tac.adx.report.demand.CampaignOpportunityMessage[1431252057,3904,48,50,[MALE, OLD],2.913063765911727,1.9298361606180108,46,[]]]
09/12 16:27:39 SEVERE agentware.SimClient|No agent registered to receive Message[coordinator,adv1,BankStatus[11.239629]]
09/12 16:27:39 SEVERE agentware.SimClient|No agent registered to receive Message[coordinator,adv1,(AdxPublisherReport (publisher: webmd popularity: 983 video: 269 text: 715) (publisher: amazon popularity: 5110 video: 1703 text: 3408) (publisher: fox popularity: 1171 video: 469 text: 703) (publisher: nyt popularity: 1241 video: 576 text: 666) (publisher: ask popularity: 1975 video: 696 text: 1280) (publisher: sears popularity: 621 video: 226 text: 396))]
09/12 16:27:39 SEVERE agentware.SimClient|No agent registered to receive Message[coordinator,adv1,simulationStatus[46,238068,false,[]]]
09/12 16:27:40 SEVERE agentware.SimClient|No agent registered to receive Message[coordinator,adv1,(CampaignReport CampaignReportEntry [tgt imps=4954.346797584841, ntg imps=0.0, cost=0.046364914834085356])]
09/12 16:27:40 SEVERE agentware.SimClient|No agent registered to receive Message[coordinator,adv1,AdNetworkDailyNotification [effectiveDay=47, serviceLevel=0.47829690000000014, price=0.0, qualityScore=1.2836522487920408, campaignId=1431252057, winner=, costMillis=0]]
09/12 16:27:40 SEVERE agentware.SimClient|No agent registered to receive Message[coordinator,adv1,tau.tac.adx.report.demand.CampaignOpportunityMessage[1832097530,1855,49,51,[HIGH_INCOME, YOUNG],2.9869245370105153,2.310921399115114,47,[]]]
09/12 16:27:40 SEVERE agentware.SimClient|No agent registered to receive Message[coordinator,adv1,BankStatus[11.239629]]
09/12 16:27:40 SEVERE agentware.SimClient|No agent registered to receive Message[coordinator,adv1,(AdxPublisherReport (publisher: amazon popularity: 5055 video: 1721 text: 3335) (publisher: webmd popularity: 985 video: 245 text: 741) (publisher: ask popularity: 2056 video: 742 text: 1315) (publisher: fox popularity: 1255 video: 484 text: 772) (publisher: sears popularity: 586 video: 240 text: 347) (publisher: nyt popularity: 1183 video: 543 text: 641))]
